original_word	ner	m_ner
So	O	O
she	B-PERX	O
was	O	O
considering	O	O
in	O	O
her	B-PERX	O
own	O	O
mind	O	O
(	O	O
as	O	O
well	O	O
as	O	O
she	B-PERX	O
could	O	O
,	O	O
for	O	O
the	O	O
hot	O	O
day	O	O
made	O	O
her	O	O
feel	O	O
very	O	O
sleepy	O	O
and	O	O
stupid	O	O
)	O	O
,	O	O
whether	O	O
the	O	O
pleasure	O	O
of	O	O
making	O	O
a	O	O
daisy	O	O
-	O	O
chain	O	O
would	O	O
be	O	O
worth	O	O
the	O	O
trouble	O	O
of	O	O
getting	O	O
up	O	O
and	O	O
picking	O	O
the	O	O
daisies	O	O
,	O	O
when	O	O
suddenly	O	O
a	O	O
White	O	O
Rabbit	O	O
with	O	O
pink	O	O
eyes	O	O
ran	O	O
close	O	O
by	O	O
her	O	O
.	O	O
There	O	O
was	O	O
nothing	O	O
so	O	O
VERY	O	O
remarkable	O	O
in	O	O
that	O	O
;	O	O
nor	O	O
did	O	O
Alice	B-PERSON	O
think	O	O
it	O	O
so	O	O
VERY	O	O
much	O	O
out	O	O
of	O	O
the	O	O
way	O	O
to	O	O
hear	O	O
the	B-PERX	O
Rabbit	I-PERX	O
say	O	O
to	O	O
itself	B-PERX	O
,	B-PERX	O
‘	O	O
Oh	O	O
dear	O	O
!	O	O
Oh	O	O
dear	O	O
!	O	O
I	B-PERX	O
shall	O	O
be	O	O
late	O	O
!	O	O
’	O	O
(	O	O
when	O	O
she	B-PERX	O
thought	O	O
it	O	O
over	O	O
afterwards	O	O
,	O	O
it	O	O
occurred	O	O
to	O	O
her	B-PERX	O
that	O	O
she	B-PERX	O
ought	O	O
to	O	O
have	O	O
wondered	O	O
at	O	O
this	O	O
,	O	O
but	O	O
at	O	O
the	O	O
time	O	O
it	O	O
all	O	O
seemed	O	O
quite	O	O
natural	O	O
)	O	O
;	O	O
but	O	O
when	O	O
the	B-PERX	O
Rabbit	I-PERX	O
actually	O	O
TOOK	O	O
A	O	O
WATCH	O	O
OUT	O	O
OF	O	O
ITS	O	O
WAISTCOAT	O	O
-	O	O
POCKET	O	O
,	O	O
and	O	O
looked	O	O
at	O	O
it	O	O
,	O	O
and	O	O
then	O	O
hurried	O	O
on	O	O
,	O	O
Alice	B-PERSON	O
started	O	O
to	O	O
her	B-PERX	O
feet	O	O
,	O	O
for	O	O
it	O	O
flashed	O	O
across	O	O
her	B-PERX	O
mind	O	O
that	O	O
she	B-PERX	O
had	O	O
never	O	O
before	O	O
seen	O	O
a	B-PERX	O
rabbit	I-PERX	O
with	O	O
either	O	O
a	O	O
waistcoat	O	O
-	O	O
pocket	O	O
,	O	O
or	O	O
a	O	O
watch	O	O
to	O	O
take	O	O
out	O	O
of	O	O
it	O	O
,	O	O
and	O	O
burning	O	O
with	O	O
curiosity	O	O
,	O	O
she	B-PERX	O
ran	O	O
across	O	O
the	O	O
field	O	O
after	O	O
it	B-PERX	O
,	B-PERX	O
and	O	O
fortunately	O	O
was	O	O
just	O	O
in	O	O
time	O	O
to	O	O
see	O	O
it	B-PERX	O
pop	O	O
down	O	O
a	O	O
large	O	O
rabbit	O	O
-	O	O
hole	O	O
under	O	O
the	O	O
hedge	O	O
.	O	O
In	O	O
another	O	O
moment	O	O
down	O	O
went	O	O
Alice	B-PERSON	O
after	O	O
it	B-PERX	O
,	B-PERX	O
never	O	O
once	O	O
considering	O	O
how	O	O
in	O	O
the	O	O
world	O	O
she	B-PERX	O
was	O	O
to	O	O
get	O	O
out	O	O
again	O	O
.	O	O
The	O	O
rabbit	O	O
-	O	O
hole	O	O
went	O	O
straight	O	O
on	O	O
like	O	O
a	O	O
tunnel	O	O
for	O	O
some	O	O
way	O	O
,	O	O
and	O	O
then	O	O
dipped	O	O
suddenly	O	O
down	O	O
,	O	O
so	O	O
suddenly	O	O
that	O	O
Alice	B-PERSON	O
had	O	O
not	O	O
a	O	O
moment	O	O
to	O	O
think	O	O
about	O	O
stopping	O	O
herself	B-PERX	O
before	O	O
she	B-PERX	O
found	O	O
herself	B-PERX	O
falling	O	O
down	O	O
a	O	O
very	O	O
deep	O	O
well	O	O
.	O	O
Either	O	O
the	O	O
well	O	O
was	O	O
very	O	O
deep	O	O
,	O	O
or	O	O
she	B-PERX	O
fell	O	O
very	O	O
slowly	O	O
,	O	O
for	O	O
she	B-PERX	O
had	O	O
plenty	O	O
of	O	O
time	O	O
as	O	O
she	B-PERX	O
went	O	O
down	O	O
to	O	O
look	O	O
about	O	O
her	O	O
and	O	O
to	O	O
wonder	O	O
what	O	O
was	O	O
going	O	O
to	O	O
happen	O	O
next	O	O
.	O	O
First	O	O
,	O	O
she	O	O
tried	O	O
to	O	O
look	O	O
down	O	O
and	O	O
make	O	O
out	O	O
what	O	O
she	O	O
was	O	O
coming	O	O
to	O	O
,	O	O
but	O	O
it	O	O
was	O	O
too	O	O
dark	O	O
to	O	O
see	O	O
anything	O	O
;	O	O
then	O	O
she	O	O
looked	O	O
at	O	O
the	O	O
sides	O	O
of	O	O
the	O	O
well	O	O
,	O	O
and	O	O
noticed	O	O
that	O	O
they	O	O
were	O	O
filled	O	O
with	O	O
cupboards	O	O
and	O	O
book	O	O
-	O	O
shelves	O	O
;	O	O
here	O	O
and	O	O
there	O	O
she	O	O
saw	O	O
maps	O	O
and	O	O
pictures	O	O
hung	O	O
upon	O	O
pegs	O	O
.	O	O
She	O	O
took	O	O
down	O	O
a	O	O
jar	O	O
from	O	O
one	O	O
of	O	O
the	O	O
shelves	O	O
as	O	O
she	O	O
passed	O	O
;	O	O
it	O	O
was	O	O
labelled	O	O
‘	O	O
ORANGE	O	O
MARMALADE	O	O
’	O	O
,	O	O
but	O	O
to	O	O
her	O	O
great	O	O
disappointment	O	O
it	O	O
was	O	O
empty	O	O
:	O	O
she	O	O
did	O	O
not	O	O
like	O	O
to	O	O
drop	O	O
the	O	O
jar	O	O
for	O	O
fear	O	O
of	O	O
killing	O	O
somebody	O	O
,	O	O
so	O	O
managed	O	O
to	O	O
put	O	O
it	O	O
into	O	O
one	O	O
of	O	O
the	O	O
cupboards	O	O
as	O	O
she	O	O
fell	O	O
past	O	O
it	O	O
.	O	O
‘	O	O
